,Unnamed: 0,datebr,sku,offer_option_id,offer_option_title,offer_option_description,product_name,destination_type,multidestino,year,package_date_format,destination_city,destination_state,destination_country,AttributeList,clicks,checkout,fullprice,yield,discount,realprice,interest,totalprice,sales
0,97,2022-08-01,LGPKG-1139792,2778975,Aéreo de São Paulo,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",1083.0,298.0,5132,976,2443,3665,0,3665,1
1,98,2022-08-01,LGPKG-1139792,2778974,Aéreo do Rio de Janeiro,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",1083.0,298.0,5132,976,2443,3665,0,3665,4
2,99,2022-08-01,LGPKG-1139792,2778975,Aéreo de São Paulo,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",1083.0,298.0,5132,1027,2463,3695,0,3695,2
3,100,2022-08-01,LGPKG-1139792,2778976,Aéreo de Belo Horizonte,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",1083.0,298.0,5498,880,2551,3827,0,3827,1
4,101,2022-08-01,LGPKG-1139792,2778976,Aéreo de Belo Horizonte,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",1083.0,298.0,5498,935,2573,3860,0,3860,2
5,19666,2022-09-26,LGPKG-1139792,2778974,Aéreo do Rio de Janeiro,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - Segundo Semestre 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",121.0,20.0,7299,0,0,7299,0,7299,1
6,21168,2022-10-02,LGPKG-1139792,2778974,Aéreo do Rio de Janeiro,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - Segundo Semestre 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",145.0,22.0,7299,0,0,7299,0,7299,1
7,21604,2022-10-04,LGPKG-1139792,2778975,Aéreo de São Paulo,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - Segundo Semestre 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",149.0,26.0,7299,0,0,7299,0,7299,1
8,21605,2022-10-04,LGPKG-1139792,2778974,Aéreo do Rio de Janeiro,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - Segundo Semestre 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",149.0,26.0,7299,0,0,7299,0,7299,1
9,22612,2022-10-08,LGPKG-1139792,2778975,Aéreo de São Paulo,Aéreo ida e volta | Quarto Duplo ou Triplo | 8 Diárias (4 diárias em Lisboa + 4 diárias em Porto),Pacote de Viagem - Lisboa + Porto - Segundo Semestre 2023,INT,True,2023.0,Data flexível,Lisboa + Porto,Lisboa,Portugal,"Hospedagem Econômica,Passagem Aérea Econômica",100.0,9.0,7299,1314,0,8613,0,8613,1
